2025-06-19 02:24:11.662 | DEBUG    | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:137 - [VehicleDetector] Received frame 0649bf2d-5d1b-4a26-9ebf-61ceb9a349ae from input queue.
2025-06-19 02:24:11.663 | DEBUG    | Visualizer      | src.traffic_monitor.services.visualizer:__init__:45 - [Visualizer] Parsed colors: {'car': (0, 119, 187), 'truck': (14, 127, 255), 'bus': (44, 160, 44), 'motorcycle': (40, 39, 214), 'bicycle': (189, 103, 148), 'person': (75, 86, 140), 'van': (194, 119, 227), 'trailer': (127, 127, 127), 'scooter': (34, 189, 188), 'boat': (207, 190, 23)}
2025-06-19 02:24:11.663 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:__init__:46 - [Visualizer] Counting lines will be received from VehicleCounter process
2025-06-19 02:24:11.663 | INFO     | Visualizer      | src.traffic_monitor.services.visualizer:visualize_process:188 - [Visualizer] Visualizer initialized successfully.
2025-06-19 02:24:11.670 | DEBUG    | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:153 - [VehicleDetector] Decoded frame 0649bf2d-5d1b-4a26-9ebf-61ceb9a349ae. Performing detection...
2025-06-19 02:24:11.767 | INFO     | OCRReader       | src.traffic_monitor.services.ocr_reader:__init__:22 - [OCRReader] OCR reader initialized with model: global-plates-mobile-vit-v2-model on device: auto
2025-06-19 02:24:11.890 | DEBUG    | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:166 - [VehicleDetector] Detected 7 objects in frame 0649bf2d-5d1b-4a26-9ebf-61ceb9a349ae: 7 cars
2025-06-19 02:24:11.892 | DEBUG    | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:133 - [VehicleDetector] Attempting to get frame from input queue...
2025-06-19 02:24:11.892 | DEBUG    | VehicleTracker  | src.traffic_monitor.services.vehicle_tracker:vehicle_tracker_process:157 - [VehicleTracker] Received vehicle detection message for frame 0649bf2d-5d1b-4a26-9ebf-61ceb9a349ae.
2025-06-19 02:24:11.893 | DEBUG    | VehicleDetector | src.traffic_monitor.services.vehicle_detector:vehicle_detector_process:137 - [VehicleDetector] Received frame 4107a8a6-41bb-4451-8cd7-72db85970e35 from input queue.
